# Character Audit Report

Char          Count  Category        Allowed
--------------------------------------------------
U+0020         1773  whitespace      YES
ን               337  ethiopic        YES
ው               304  ethiopic        YES
አ               264  ethiopic        YES
ም               262  ethiopic        YES
ይ               251  ethiopic        YES
ት               242  ethiopic        YES
እ               241  ethiopic        YES
ስ               213  ethiopic        YES
ለ               210  ethiopic        YES
ነ               210  ethiopic        YES
ህ               197  ethiopic        YES
ል               181  ethiopic        YES
ር               176  ethiopic        YES
የ               150  ethiopic        YES
በ               141  ethiopic        YES
መ               137  ethiopic        YES
ያ               128  ethiopic        YES
ገ               123  ethiopic        YES
ላ               103  ethiopic        YES
ከ                98  ethiopic        YES
ሰ                94  ethiopic        YES
ደ                86  ethiopic        YES
ብ                82  ethiopic        YES
ተ                81  ethiopic        YES
ድ                78  ethiopic        YES
ጣ                78  ethiopic        YES
ታ                72  ethiopic        YES
ወ                72  ethiopic        YES
ና                68  ethiopic        YES
ግ                64  ethiopic        YES
ባ                60  ethiopic        YES
ክ                58  ethiopic        YES
ጥ                58  ethiopic        YES
ረ                57  ethiopic        YES
ሆ                56  ethiopic        YES
ች                54  ethiopic        YES
ዛ                53  ethiopic        YES
ሚ                52  ethiopic        YES
ቀ                52  ethiopic        YES
ማ                51  ethiopic        YES
።                51  ethiopic        YES
ራ                50  ethiopic        YES
ቅ                50  ethiopic        YES
ዚ                50  ethiopic        YES
ሄ                44  ethiopic        YES
ሳ                35  ethiopic        YES
ኝ                35  ethiopic        YES
ሁ                34  ethiopic        YES
ሱ                34  ethiopic        YES
ካ                34  ethiopic        YES
ጠ                34  ethiopic        YES
ሊ                27  ethiopic        YES
ዎ                27  ethiopic        YES
ዘ                26  ethiopic        YES
ጋ                26  ethiopic        YES
ቴ                25  ethiopic        YES
ፍ                25  ethiopic        YES
ቃ                24  ethiopic        YES
ቶ                22  ethiopic        YES
ፈ                22  ethiopic        YES
ፋ                22  ethiopic        YES
ሲ                21  ethiopic        YES
ኛ                21  ethiopic        YES
ሪ                20  ethiopic        YES
ቱ                20  ethiopic        YES
ኖ                18  ethiopic        YES
ኳ                16  ethiopic        YES
ሃ                14  ethiopic        YES
ሌ                14  ethiopic        YES
ሞ                14  ethiopic        YES
ቸ                14  ethiopic        YES
ቻ                14  ethiopic        YES
ኘ                14  ethiopic        YES
ኩ                14  ethiopic        YES
ዝ                14  ethiopic        YES
ዳ                14  ethiopic        YES
ጨ                14  ethiopic        YES
ሉ                13  ethiopic        YES
ሙ                13  ethiopic        YES
ኔ                13  ethiopic        YES
ዋ                13  ethiopic        YES
ቁ                12  ethiopic        YES
ቢ                12  ethiopic        YES
ኬ                12  ethiopic        YES
ዲ                12  ethiopic        YES
ጊ                12  ethiopic        YES
ሶ                11  ethiopic        YES
ቤ                11  ethiopic        YES
ሮ                10  ethiopic        YES
ቺ                10  ethiopic        YES
ጫ                10  ethiopic        YES
ፎ                10  ethiopic        YES
ሎ                 9  ethiopic        YES
ቲ                 8  ethiopic        YES
ኋ                 8  ethiopic        YES
ኮ                 8  ethiopic        YES
ኸ                 8  ethiopic        YES
ዜ                 8  ethiopic        YES
ዞ                 8  ethiopic        YES
ዬ                 8  ethiopic        YES
ጎ                 8  ethiopic        YES
ፊ                 8  ethiopic        YES
ፕ                 8  ethiopic        YES
ሀ                 6  ethiopic        YES
ሔ                 6  ethiopic        YES
ሩ                 6  ethiopic        YES
ሬ                 6  ethiopic        YES
ሻ                 6  ethiopic        YES
ቄ                 6  ethiopic        YES
ኑ                 6  ethiopic        YES
ዙ                 6  ethiopic        YES
ዩ                 6  ethiopic        YES
ጀ                 6  ethiopic        YES
ጅ                 6  ethiopic        YES
ጌ                 6  ethiopic        YES
ሽ                 5  ethiopic        YES
ቆ                 5  ethiopic        YES
ጉ                 5  ethiopic        YES
ሜ                 4  ethiopic        YES
ሷ                 4  ethiopic        YES
ሸ                 4  ethiopic        YES
ቂ                 4  ethiopic        YES
ቼ                 4  ethiopic        YES
ኤ                 4  ethiopic        YES
ኦ                 4  ethiopic        YES
ኪ                 4  ethiopic        YES
ዱ                 4  ethiopic        YES
ጪ                 4  ethiopic        YES
ጭ                 4  ethiopic        YES
ፖ                 4  ethiopic        YES
፡                 4  ethiopic        YES
ቡ                 3  ethiopic        YES
ኢ                 3  ethiopic        YES
ጦ                 3  ethiopic        YES
ሼ                 2  ethiopic        YES
ቦ                 2  ethiopic        YES
ቬ                 2  ethiopic        YES
ቭ                 2  ethiopic        YES
ቹ                 2  ethiopic        YES
ቿ                 2  ethiopic        YES
ኞ                 2  ethiopic        YES
ኧ                 2  ethiopic        YES
ዉ                 2  ethiopic        YES
ዮ                 2  ethiopic        YES
ዶ                 2  ethiopic        YES
ጃ                 2  ethiopic        YES
ጆ                 2  ethiopic        YES
ጤ                 2  ethiopic        YES
ጻ                 2  ethiopic        YES
ፉ                 2  ethiopic        YES
ፐ                 2  ethiopic        YES
ፔ                 2  ethiopic        YES
ሂ                 1  ethiopic        YES
ፓ                 1  ethiopic        YES
--------------------------------------------------
Total characters: 8469
Flagged unique characters: 0
